Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-10-15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
China,CHN,Consumer price index (2010 = 100),FP.CPI.TOTL,87.936230977228,92.1719128488834,97.6333339896663,96.9223960389561,100,105.553897059043,108.318909010561,111.158000721251,113.294061123401,114.922124554591,117.220567045682,119.088051569694,121.558877247618,125.083155733959,,
France,FRA,Consumer price index (2010 = 100),FP.CPI.TOTL,94.3101233525137,95.7134561579475,98.4057435464288,98.4919671294586,100,102.11159795175,104.107058016154,105.006246810607,105.539425293424,105.579017755019,105.772580900597,106.864453008147,108.842316422953,110.04856675289,,
United Kingdom,GBR,Consumer price index (2010 = 100),FP.CPI.TOTL,90.2811170704642,92.4357314592195,95.6907712224894,97.5679674496024,100,103.856112446828,106.528574070649,108.969853893102,110.551137414463,110.958017384871,112.076937303495,114.943591640466,117.579064176068,119.622711300166,,
"Hong Kong SAR, China",HKG,Consumer price index (2010 = 100),FP.CPI.TOTL,91.3211775491494,93.1751044107161,97.1783640623408,97.7386166853418,100,105.276561067536,109.554853824997,114.291535092187,119.364367933177,122.939798309056,125.904044005297,127.768157278191,130.844453499032,134.593052867475,,
Japan,JPN,Consumer price index (2010 = 100),FP.CPI.TOTL,100.656133989467,100.716567383234,102.106535439869,100.725200725201,100,99.7323663990331,99.680566347233,100.0259000259,102.788569455236,103.600103600104,103.47923681257,103.962703962704,104.981438314772,105.482172148839,,
Singapore,SGP,Consumer price index (2010 = 100),FP.CPI.TOTL,88.7986248424537,90.6677293693,96.676988610904,97.2538797862137,100,105.247793398405,110.063514278795,112.659476898612,113.81440330709,113.219588558659,112.616956081526,113.265922901941,113.762730027133,114.405785881945,,
United States,USA,Consumer price index (2010 = 100),FP.CPI.TOTL,92.4497050827274,95.0869923788515,98.7374773853446,98.3864199710624,100,103.156841568622,105.291504532867,106.833848874866,108.566932118964,108.695721960693,110.06700893427,112.411557302308,115.157303224791,117.244195476228,,
